symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-08-03T19:15:12.758875,20,0.1141,slightly_bullish,-0.0398,0.8359,mixed_signals,8,0,12
MSFT,2026-08-03T19:15:12.775167,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
GOOGL,2026-08-03T19:15:12.789339,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
AMZN,2026-08-03T19:15:12.803008,20,0.1141,slightly_bullish,0.0148,0.8359,positive_momentum,8,0,12
META,2026-08-03T19:15:12.816357,20,0.1141,slightly_bullish,0.0264,0.8359,positive_momentum,8,0,12
NVDA,2026-08-03T19:15:12.829644,20,0.1141,slightly_bullish,-0.0008,0.8359,mixed_signals,8,0,12
TSLA,2026-08-03T19:15:12.843219,20,0.1141,slightly_bullish,0.0352,0.8359,positive_momentum,8,0,12
JPM,2026-08-03T19:15:12.856537,20,0.1141,slightly_bullish,0.0389,0.8359,positive_momentum,8,0,12
V,2026-08-03T19:15:12.869770,20,0.1141,slightly_bullish,-0.0389,0.8359,mixed_signals,8,0,12
JNJ,2026-08-03T19:15:12.883280,20,0.1141,slightly_bullish,-0.0005,0.8359,mixed_signals,8,0,12
