symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-06-08T13:56:57.566919,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
MSFT,2026-06-08T13:56:57.581807,20,0.1141,slightly_bullish,-0.1348,0.8359,mixed_signals,8,0,12
GOOGL,2026-06-08T13:56:57.595893,20,0.1141,slightly_bullish,-0.0719,0.8359,mixed_signals,8,0,12
AMZN,2026-06-08T13:56:57.656259,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
META,2026-06-08T13:56:57.670284,20,0.1141,slightly_bullish,-0.0893,0.8359,mixed_signals,8,0,12
NVDA,2026-06-08T13:56:57.684064,20,0.1141,slightly_bullish,0.101,0.8359,positive_momentum,8,0,12
TSLA,2026-06-08T13:56:57.697844,20,0.1141,slightly_bullish,-0.0334,0.8359,mixed_signals,8,0,12
JPM,2026-06-08T13:56:57.711316,20,0.1141,slightly_bullish,0.0264,0.8359,positive_momentum,8,0,12
V,2026-06-08T13:56:57.724774,20,0.1141,slightly_bullish,0.0742,0.8359,positive_momentum,8,0,12
JNJ,2026-06-08T13:56:57.738319,20,0.1141,slightly_bullish,-0.0598,0.8359,mixed_signals,8,0,12
