symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-04-20T15:08:04.128852,20,0.1141,slightly_bullish,0.0951,0.8359,positive_momentum,8,0,12
MSFT,2026-04-20T15:08:04.142866,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
GOOGL,2026-04-20T15:08:04.156039,20,0.1141,slightly_bullish,0.1617,0.8359,positive_momentum,8,0,12
AMZN,2026-04-20T15:08:04.169020,20,0.1141,slightly_bullish,0.1408,0.8359,positive_momentum,8,0,12
META,2026-04-20T15:08:04.183584,20,0.1141,slightly_bullish,0.012,0.8359,positive_momentum,8,0,12
NVDA,2026-04-20T15:08:04.196257,20,0.1141,slightly_bullish,0.1143,0.8359,positive_momentum,8,0,12
TSLA,2026-04-20T15:08:04.209134,20,0.1141,slightly_bullish,0.0156,0.8359,positive_momentum,8,0,12
JPM,2026-04-20T15:08:04.221825,20,0.1141,slightly_bullish,-0.1291,0.8359,mixed_signals,8,0,12
V,2026-04-20T15:08:04.234643,20,0.1141,slightly_bullish,0.0393,0.8359,positive_momentum,8,0,12
JNJ,2026-04-20T15:08:04.247040,20,0.1141,slightly_bullish,0.0594,0.8359,positive_momentum,8,0,12
