symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-07-20T19:21:30.230210,20,0.1141,slightly_bullish,-0.1492,0.8359,mixed_signals,8,0,12
MSFT,2026-07-20T19:21:30.254884,20,0.1141,slightly_bullish,0.0143,0.8359,positive_momentum,8,0,12
GOOGL,2026-07-20T19:21:30.267083,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
AMZN,2026-07-20T19:21:30.278434,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
META,2026-07-20T19:21:30.291212,20,0.1141,slightly_bullish,0.0598,0.8359,positive_momentum,8,0,12
NVDA,2026-07-20T19:21:30.364879,20,0.1141,slightly_bullish,-0.0996,0.8359,mixed_signals,8,0,12
TSLA,2026-07-20T19:21:30.375443,20,0.1141,slightly_bullish,0.0005,0.8359,positive_momentum,8,0,12
JPM,2026-07-20T19:21:30.386213,20,0.1141,slightly_bullish,0.0027,0.8359,positive_momentum,8,0,12
V,2026-07-20T19:21:30.396701,20,0.1141,slightly_bullish,0.0117,0.8359,positive_momentum,8,0,12
JNJ,2026-07-20T19:21:30.406730,20,0.1141,slightly_bullish,0.1135,0.8359,positive_momentum,8,0,12
