symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-04-10T18:37:33.603448,20,0.1141,slightly_bullish,0.0143,0.8359,positive_momentum,8,0,12
MSFT,2026-04-10T18:37:33.617602,20,0.1141,slightly_bullish,0.0742,0.8359,positive_momentum,8,0,12
GOOGL,2026-04-10T18:37:33.630165,20,0.1141,slightly_bullish,-0.0121,0.8359,mixed_signals,8,0,12
AMZN,2026-04-10T18:37:33.642458,20,0.1141,slightly_bullish,0.0209,0.8359,positive_momentum,8,0,12
META,2026-04-10T18:37:33.655708,20,0.1141,slightly_bullish,0.0389,0.8359,positive_momentum,8,0,12
NVDA,2026-04-10T18:37:33.668794,20,0.1141,slightly_bullish,0.0898,0.8359,positive_momentum,8,0,12
TSLA,2026-04-10T18:37:33.681159,20,0.1141,slightly_bullish,-0.063,0.8359,mixed_signals,8,0,12
JPM,2026-04-10T18:37:33.693314,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
V,2026-04-10T18:37:33.705506,20,0.1141,slightly_bullish,0.0898,0.8359,positive_momentum,8,0,12
JNJ,2026-04-10T18:37:33.717857,20,0.1141,slightly_bullish,0.0008,0.8359,positive_momentum,8,0,12
