symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-06-19T22:42:22.594192,20,0.1141,slightly_bullish,0.1291,0.8359,positive_momentum,8,0,12
MSFT,2026-06-19T22:42:22.610393,20,0.1141,slightly_bullish,-0.0393,0.8359,mixed_signals,8,0,12
GOOGL,2026-06-19T22:42:22.624164,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
AMZN,2026-06-19T22:42:22.637945,20,0.1141,slightly_bullish,-0.0385,0.8359,mixed_signals,8,0,12
META,2026-06-19T22:42:22.651421,20,0.1141,slightly_bullish,0.0031,0.8359,positive_momentum,8,0,12
NVDA,2026-06-19T22:42:22.664852,20,0.1141,slightly_bullish,-0.1487,0.8359,mixed_signals,8,0,12
TSLA,2026-06-19T22:42:22.678374,20,0.1141,slightly_bullish,0.075,0.8359,positive_momentum,8,0,12
JPM,2026-06-19T22:42:22.691971,20,0.1141,slightly_bullish,0.0482,0.8359,positive_momentum,8,0,12
V,2026-06-19T22:42:22.705514,20,0.1141,slightly_bullish,-0.0594,0.8359,mixed_signals,8,0,12
JNJ,2026-06-19T22:42:22.719031,20,0.1141,slightly_bullish,-0.1018,0.8359,mixed_signals,8,0,12
