symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-06-08T17:01:25.843473,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
MSFT,2026-06-08T17:01:25.856997,20,0.1141,slightly_bullish,0.0273,0.8359,positive_momentum,8,0,12
GOOGL,2026-06-08T17:01:25.869800,20,0.1141,slightly_bullish,-0.0875,0.8359,mixed_signals,8,0,12
AMZN,2026-06-08T17:01:25.882953,20,0.1141,slightly_bullish,0.0398,0.8359,positive_momentum,8,0,12
META,2026-06-08T17:01:25.940221,20,0.1141,slightly_bullish,-0.1764,0.8359,mixed_signals,8,0,12
NVDA,2026-06-08T17:01:25.953078,20,0.1141,slightly_bullish,-0.0152,0.8359,mixed_signals,8,0,12
TSLA,2026-06-08T17:01:25.965703,20,0.1141,slightly_bullish,0.0201,0.8359,positive_momentum,8,0,12
JPM,2026-06-08T17:01:25.978444,20,0.1141,slightly_bullish,-0.1348,0.8359,mixed_signals,8,0,12
V,2026-06-08T17:01:25.990992,20,0.1141,slightly_bullish,-0.0027,0.8359,mixed_signals,8,0,12
JNJ,2026-06-08T17:01:26.003432,20,0.1141,slightly_bullish,0.1148,0.8359,positive_momentum,8,0,12
