symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-07-28T22:48:28.244751,20,0.1141,slightly_bullish,0.1076,0.8359,positive_momentum,8,0,12
MSFT,2026-07-28T22:48:28.260301,20,0.1141,slightly_bullish,0.1612,0.8359,positive_momentum,8,0,12
GOOGL,2026-07-28T22:48:28.343829,20,0.1141,slightly_bullish,0.0393,0.8359,positive_momentum,8,0,12
AMZN,2026-07-28T22:48:28.355885,20,0.1141,slightly_bullish,-0.0607,0.8359,mixed_signals,8,0,12
META,2026-07-28T22:48:28.367671,20,0.1141,slightly_bullish,-0.1076,0.8359,mixed_signals,8,0,12
NVDA,2026-07-28T22:48:28.379568,20,0.1141,slightly_bullish,-0.0148,0.8359,mixed_signals,8,0,12
TSLA,2026-07-28T22:48:28.391114,20,0.1141,slightly_bullish,0.0541,0.8359,positive_momentum,8,0,12
JPM,2026-07-28T22:48:28.402486,20,0.1141,slightly_bullish,0.0273,0.8359,positive_momentum,8,0,12
V,2026-07-28T22:48:28.414130,20,0.1141,slightly_bullish,-0.012,0.8359,mixed_signals,8,0,12
JNJ,2026-07-28T22:48:28.426002,20,0.1141,slightly_bullish,0.026,0.8359,positive_momentum,8,0,12
