symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-09-22T20:34:11.617579,20,0.1141,slightly_bullish,-0.0875,0.8359,mixed_signals,8,0,12
MSFT,2026-09-22T20:34:11.635248,20,0.1141,slightly_bullish,-0.0273,0.8359,mixed_signals,8,0,12
GOOGL,2026-09-22T20:34:11.652433,20,0.1141,slightly_bullish,-0.0598,0.8359,mixed_signals,8,0,12
AMZN,2026-09-22T20:34:11.671526,20,0.1141,slightly_bullish,-0.0469,0.8359,mixed_signals,8,0,12
META,2026-09-22T20:34:11.690988,20,0.1141,slightly_bullish,-0.1487,0.8359,mixed_signals,8,0,12
NVDA,2026-09-22T20:34:11.710582,20,0.1141,slightly_bullish,-0.0393,0.8359,mixed_signals,8,0,12
TSLA,2026-09-22T20:34:11.726404,20,0.1141,slightly_bullish,0.1148,0.8359,positive_momentum,8,0,12
JPM,2026-09-22T20:34:11.741732,20,0.1141,slightly_bullish,0.012,0.8359,positive_momentum,8,0,12
V,2026-09-22T20:34:11.757373,20,0.1141,slightly_bullish,-0.0477,0.8359,mixed_signals,8,0,12
JNJ,2026-09-22T20:34:11.832152,20,0.1141,slightly_bullish,-0.0602,0.8359,mixed_signals,8,0,12
