symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-05-15T19:13:15.192553,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
MSFT,2026-05-15T19:13:15.206227,20,0.1141,slightly_bullish,-0.0393,0.8359,mixed_signals,8,0,12
GOOGL,2026-05-15T19:13:15.218647,20,0.1141,slightly_bullish,0.1014,0.8359,positive_momentum,8,0,12
AMZN,2026-05-15T19:13:15.230600,20,0.1141,slightly_bullish,0.1348,0.8359,positive_momentum,8,0,12
META,2026-05-15T19:13:15.243296,20,0.1141,slightly_bullish,0.1469,0.8359,positive_momentum,8,0,12
NVDA,2026-05-15T19:13:15.255231,20,0.1141,slightly_bullish,-0.1023,0.8359,mixed_signals,8,0,12
TSLA,2026-05-15T19:13:15.267155,20,0.1141,slightly_bullish,0.0008,0.8359,positive_momentum,8,0,12
JPM,2026-05-15T19:13:15.279042,20,0.1141,slightly_bullish,-0.0334,0.8359,mixed_signals,8,0,12
V,2026-05-15T19:13:15.291094,20,0.1141,slightly_bullish,0.026,0.8359,positive_momentum,8,0,12
JNJ,2026-05-15T19:13:15.302936,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
