symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-09-15T23:47:36.522438,20,0.1141,slightly_bullish,0.013,0.8359,positive_momentum,8,0,12
MSFT,2026-09-15T23:47:36.536155,20,0.1141,slightly_bullish,0.1283,0.8359,positive_momentum,8,0,12
GOOGL,2026-09-15T23:47:36.548418,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
AMZN,2026-09-15T23:47:36.559479,20,0.1141,slightly_bullish,0.0326,0.8359,positive_momentum,8,0,12
META,2026-09-15T23:47:36.574319,20,0.1141,slightly_bullish,-0.0469,0.8359,mixed_signals,8,0,12
NVDA,2026-09-15T23:47:36.589084,20,0.1141,slightly_bullish,-0.1348,0.8359,mixed_signals,8,0,12
TSLA,2026-09-15T23:47:36.603621,20,0.1141,slightly_bullish,0.0746,0.8359,positive_momentum,8,0,12
JPM,2026-09-15T23:47:36.615600,20,0.1141,slightly_bullish,-0.1135,0.8359,mixed_signals,8,0,12
V,2026-09-15T23:47:36.627589,20,0.1141,slightly_bullish,-0.1617,0.8359,mixed_signals,8,0,12
JNJ,2026-09-15T23:47:36.639475,20,0.1141,slightly_bullish,0.0143,0.8359,positive_momentum,8,0,12
