symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-09-04T17:13:01.835970,20,0.1141,slightly_bullish,0.0742,0.8359,positive_momentum,8,0,12
MSFT,2026-09-04T17:13:01.852302,20,0.1141,slightly_bullish,-0.0477,0.8359,mixed_signals,8,0,12
GOOGL,2026-09-04T17:13:01.866211,20,0.1141,slightly_bullish,-0.1023,0.8359,mixed_signals,8,0,12
AMZN,2026-09-04T17:13:01.879462,20,0.1141,slightly_bullish,0.1408,0.8359,positive_momentum,8,0,12
META,2026-09-04T17:13:01.892249,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
NVDA,2026-09-04T17:13:01.905655,20,0.1141,slightly_bullish,-0.0031,0.8359,mixed_signals,8,0,12
TSLA,2026-09-04T17:13:01.918509,20,0.1141,slightly_bullish,0.1139,0.8359,positive_momentum,8,0,12
JPM,2026-09-04T17:13:01.931169,20,0.1141,slightly_bullish,-0.0745,0.8359,mixed_signals,8,0,12
V,2026-09-04T17:13:01.943558,20,0.1141,slightly_bullish,-0.0424,0.8359,mixed_signals,8,0,12
JNJ,2026-09-04T17:13:01.955820,20,0.1141,slightly_bullish,0.0237,0.8359,positive_momentum,8,0,12
