symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-03-17T10:39:11.746689,20,0.1141,slightly_bullish,-0.0273,0.8359,mixed_signals,8,0,12
MSFT,2026-03-17T10:39:11.759440,20,0.1141,slightly_bullish,-0.0008,0.8359,mixed_signals,8,0,12
GOOGL,2026-03-17T10:39:11.771509,20,0.1141,slightly_bullish,0.1487,0.8359,positive_momentum,8,0,12
AMZN,2026-03-17T10:39:11.782594,20,0.1141,slightly_bullish,0.088,0.8359,positive_momentum,8,0,12
META,2026-03-17T10:39:11.793860,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
NVDA,2026-03-17T10:39:11.804854,20,0.1141,slightly_bullish,0.0875,0.8359,positive_momentum,8,0,12
TSLA,2026-03-17T10:39:11.816158,20,0.1141,slightly_bullish,-0.0242,0.8359,mixed_signals,8,0,12
JPM,2026-03-17T10:39:11.827163,20,0.1141,slightly_bullish,0.1219,0.8359,positive_momentum,8,0,12
V,2026-03-17T10:39:11.838183,20,0.1141,slightly_bullish,-0.0143,0.8359,mixed_signals,8,0,12
JNJ,2026-03-17T10:39:11.849619,20,0.1141,slightly_bullish,-0.0008,0.8359,mixed_signals,8,0,12
