symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-04-13T15:07:43.203909,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
MSFT,2026-04-13T15:07:43.217994,20,0.1141,slightly_bullish,0.1283,0.8359,positive_momentum,8,0,12
GOOGL,2026-04-13T15:07:43.230928,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
AMZN,2026-04-13T15:07:43.243796,20,0.1141,slightly_bullish,-0.0719,0.8359,mixed_signals,8,0,12
META,2026-04-13T15:07:43.257779,20,0.1141,slightly_bullish,-0.0992,0.8359,mixed_signals,8,0,12
NVDA,2026-04-13T15:07:43.270206,20,0.1141,slightly_bullish,0.0326,0.8359,positive_momentum,8,0,12
TSLA,2026-04-13T15:07:43.282476,20,0.1141,slightly_bullish,0.0424,0.8359,positive_momentum,8,0,12
JPM,2026-04-13T15:07:43.294916,20,0.1141,slightly_bullish,-0.0482,0.8359,mixed_signals,8,0,12
V,2026-04-13T15:07:43.307600,20,0.1141,slightly_bullish,0.0951,0.8359,positive_momentum,8,0,12
JNJ,2026-04-13T15:07:43.320167,20,0.1141,slightly_bullish,0.0121,0.8359,positive_momentum,8,0,12
