title,description,source,published_at,url,content,sentiment_score,sentiment_label,subjectivity,symbol
AAPL Stock Drops Amid Market Concerns,AAPL shares fell following broader market uncertainty.,CNBC,2026-06-18 19:05:14.229372,https://example.com/news/aapl-14,AAPL shares fell following broader market uncertainty. Full analysis of AAPL's market position and outlook.,0.0,neutral,0.1,AAPL
Market Watch: AAPL Trading Volumes Surge,Trading activity in AAPL has increased significantly this week.,Bloomberg,2026-06-18 12:05:14.229386,https://example.com/news/aapl-16,Trading activity in AAPL has increased significantly this week. Full analysis of AAPL's market position and outlook.,0.375,positive,0.875,AAPL
AAPL Announces Restructuring Plan,AAPL is implementing cost-cutting measures to improve margins.,The Wall Street Journal,2026-06-18 12:05:14.229285,https://example.com/news/aapl-5,AAPL is implementing cost-cutting measures to improve margins. Full analysis of AAPL's market position and outlook.,0.0,neutral,0.0,AAPL
AAPL Faces Regulatory Scrutiny,Regulators are investigating AAPL's business practices.,The Wall Street Journal,2026-06-18 02:05:14.229266,https://example.com/news/aapl-3,Regulators are investigating AAPL's business practices. Full analysis of AAPL's market position and outlook.,0.0,neutral,0.0,AAPL
AAPL Expands into New Markets,AAPL announces strategic expansion into emerging markets.,CNBC,2026-06-17 06:05:14.229396,https://example.com/news/aapl-17,AAPL announces strategic expansion into emerging markets. Full analysis of AAPL's market position and outlook.,0.13636363636363635,positive,0.45454545454545453,AAPL
AAPL Announces Restructuring Plan,AAPL is implementing cost-cutting measures to improve margins.,Financial Times,2026-06-16 18:05:14.229379,https://example.com/news/aapl-15,AAPL is implementing cost-cutting measures to improve margins. Full analysis of AAPL's market position and outlook.,0.0,neutral,0.0,AAPL
Industry Report: AAPL Leads Sector,AAPL maintains market leadership position in its industry.,The Wall Street Journal,2026-06-15 08:05:14.229315,https://example.com/news/aapl-9,AAPL maintains market leadership position in its industry. Full analysis of AAPL's market position and outlook.,0.0,neutral,0.0,AAPL
AAPL Announces New Product Line,AAPL unveiled innovative products expected to drive future growth.,Yahoo Finance,2026-06-14 17:05:14.229345,https://example.com/news/aapl-11,AAPL unveiled innovative products expected to drive future growth. Full analysis of AAPL's market position and outlook.,0.1340909090909091,positive,0.4948863636363636,AAPL
Analysts Upgrade AAPL Stock Rating,Major investment banks have raised their price targets for AAPL.,MarketWatch,2026-06-14 17:05:14.229253,https://example.com/news/aapl-2,Major investment banks have raised their price targets for AAPL. Full analysis of AAPL's market position and outlook.,0.0625,neutral,0.5,AAPL
AAPL Reports Strong Quarterly Earnings,AAPL exceeded analyst expectations with robust revenue growth.,Financial Times,2026-06-14 05:05:14.229322,https://example.com/news/aapl-10,AAPL exceeded analyst expectations with robust revenue growth. Full analysis of AAPL's market position and outlook.,0.43333333333333335,positive,0.7333333333333334,AAPL
