symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-04-10T14:42:12.991603,20,0.1141,slightly_bullish,0.0737,0.8359,positive_momentum,8,0,12
MSFT,2026-04-10T14:42:13.006573,20,0.1141,slightly_bullish,0.0385,0.8359,positive_momentum,8,0,12
GOOGL,2026-04-10T14:42:13.020181,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
AMZN,2026-04-10T14:42:13.033158,20,0.1141,slightly_bullish,0.0893,0.8359,positive_momentum,8,0,12
META,2026-04-10T14:42:13.046176,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
NVDA,2026-04-10T14:42:13.060343,20,0.1141,slightly_bullish,0.0875,0.8359,positive_momentum,8,0,12
TSLA,2026-04-10T14:42:13.073967,20,0.1141,slightly_bullish,0.1135,0.8359,positive_momentum,8,0,12
JPM,2026-04-10T14:42:13.087168,20,0.1141,slightly_bullish,-0.0326,0.8359,mixed_signals,8,0,12
V,2026-04-10T14:42:13.100337,20,0.1141,slightly_bullish,0.1473,0.8359,positive_momentum,8,0,12
JNJ,2026-04-10T14:42:13.113463,20,0.1141,slightly_bullish,-0.0473,0.8359,mixed_signals,8,0,12
