symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-04-14T18:56:18.165889,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
MSFT,2026-04-14T18:56:18.179749,20,0.1141,slightly_bullish,-0.0326,0.8359,mixed_signals,8,0,12
GOOGL,2026-04-14T18:56:18.191982,20,0.1141,slightly_bullish,-0.0477,0.8359,mixed_signals,8,0,12
AMZN,2026-04-14T18:56:18.203869,20,0.1141,slightly_bullish,0.012,0.8359,positive_momentum,8,0,12
META,2026-04-14T18:56:18.216783,20,0.1141,slightly_bullish,0.1746,0.8359,positive_momentum,8,0,12
NVDA,2026-04-14T18:56:18.229033,20,0.1141,slightly_bullish,0.1348,0.8359,positive_momentum,8,0,12
TSLA,2026-04-14T18:56:18.240970,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
JPM,2026-04-14T18:56:18.252856,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
V,2026-04-14T18:56:18.264895,20,0.1141,slightly_bullish,0.0156,0.8359,positive_momentum,8,0,12
JNJ,2026-04-14T18:56:18.276854,20,0.1141,slightly_bullish,-0.0482,0.8359,mixed_signals,8,0,12
