symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-09-18T20:04:31.854817,20,0.1141,slightly_bullish,-0.0152,0.8359,mixed_signals,8,0,12
MSFT,2026-09-18T20:04:31.871139,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
GOOGL,2026-09-18T20:04:31.886564,20,0.1141,slightly_bullish,0.075,0.8359,positive_momentum,8,0,12
AMZN,2026-09-18T20:04:31.900717,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
META,2026-09-18T20:04:31.916143,20,0.1141,slightly_bullish,0.1348,0.8359,positive_momentum,8,0,12
NVDA,2026-09-18T20:04:31.931268,20,0.1141,slightly_bullish,0.0742,0.8359,positive_momentum,8,0,12
TSLA,2026-09-18T20:04:31.945734,20,0.1141,slightly_bullish,-0.012,0.8359,mixed_signals,8,0,12
JPM,2026-09-18T20:04:31.959556,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
V,2026-09-18T20:04:31.973626,20,0.1141,slightly_bullish,0.0473,0.8359,positive_momentum,8,0,12
JNJ,2026-09-18T20:04:32.035943,20,0.1141,slightly_bullish,-0.1148,0.8359,mixed_signals,8,0,12
