symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-07-20T12:07:36.862903,20,0.1141,slightly_bullish,-0.0451,0.8359,mixed_signals,8,0,12
MSFT,2026-07-20T12:07:36.878783,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
GOOGL,2026-07-20T12:07:36.893540,20,0.1141,slightly_bullish,-0.0385,0.8359,mixed_signals,8,0,12
AMZN,2026-07-20T12:07:36.907777,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
META,2026-07-20T12:07:36.922693,20,0.1141,slightly_bullish,0.0326,0.8359,positive_momentum,8,0,12
NVDA,2026-07-20T12:07:36.981093,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
TSLA,2026-07-20T12:07:36.995648,20,0.1141,slightly_bullish,0.0148,0.8359,positive_momentum,8,0,12
JPM,2026-07-20T12:07:37.009458,20,0.1141,slightly_bullish,0.0398,0.8359,positive_momentum,8,0,12
V,2026-07-20T12:07:37.023869,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
JNJ,2026-07-20T12:07:37.037784,20,0.1141,slightly_bullish,0.0273,0.8359,positive_momentum,8,0,12
