symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-07-16T15:23:39.536324,20,0.1141,slightly_bullish,0.0482,0.8359,positive_momentum,8,0,12
MSFT,2026-07-16T15:23:39.550925,20,0.1141,slightly_bullish,-0.0451,0.8359,mixed_signals,8,0,12
GOOGL,2026-07-16T15:23:39.566543,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
AMZN,2026-07-16T15:23:39.580600,20,0.1141,slightly_bullish,0.0357,0.8359,positive_momentum,8,0,12
META,2026-07-16T15:23:39.653469,20,0.1141,slightly_bullish,0.0594,0.8359,positive_momentum,8,0,12
NVDA,2026-07-16T15:23:39.665099,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
TSLA,2026-07-16T15:23:39.676463,20,0.1141,slightly_bullish,-0.088,0.8359,mixed_signals,8,0,12
JPM,2026-07-16T15:23:39.687580,20,0.1141,slightly_bullish,0.0121,0.8359,positive_momentum,8,0,12
V,2026-07-16T15:23:39.698916,20,0.1141,slightly_bullish,-0.0246,0.8359,mixed_signals,8,0,12
JNJ,2026-07-16T15:23:39.710172,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
