symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-08-11T22:29:41.074633,20,0.1141,slightly_bullish,-0.1492,0.8359,mixed_signals,8,0,12
MSFT,2026-08-11T22:29:41.089163,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
GOOGL,2026-08-11T22:29:41.099047,20,0.1141,slightly_bullish,-0.0755,0.8359,mixed_signals,8,0,12
AMZN,2026-08-11T22:29:41.108574,20,0.1141,slightly_bullish,0.0152,0.8359,positive_momentum,8,0,12
META,2026-08-11T22:29:41.117827,20,0.1141,slightly_bullish,-0.0326,0.8359,mixed_signals,8,0,12
NVDA,2026-08-11T22:29:41.127032,20,0.1141,slightly_bullish,-0.0112,0.8359,mixed_signals,8,0,12
TSLA,2026-08-11T22:29:41.136084,20,0.1141,slightly_bullish,-0.0005,0.8359,mixed_signals,8,0,12
JPM,2026-08-11T22:29:41.145263,20,0.1141,slightly_bullish,0.0477,0.8359,positive_momentum,8,0,12
V,2026-08-11T22:29:41.154368,20,0.1141,slightly_bullish,0.0473,0.8359,positive_momentum,8,0,12
JNJ,2026-08-11T22:29:41.163126,20,0.1141,slightly_bullish,0.0,0.8359,mixed_signals,8,0,12
