symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-04-16T22:28:30.706805,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
MSFT,2026-04-16T22:28:30.720328,20,0.1141,slightly_bullish,0.0477,0.8359,positive_momentum,8,0,12
GOOGL,2026-04-16T22:28:30.732625,20,0.1141,slightly_bullish,-0.0719,0.8359,mixed_signals,8,0,12
AMZN,2026-04-16T22:28:30.744809,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
META,2026-04-16T22:28:30.757507,20,0.1141,slightly_bullish,-0.0005,0.8359,mixed_signals,8,0,12
NVDA,2026-04-16T22:28:30.770370,20,0.1141,slightly_bullish,0.0477,0.8359,positive_momentum,8,0,12
TSLA,2026-04-16T22:28:30.782506,20,0.1141,slightly_bullish,-0.0268,0.8359,mixed_signals,8,0,12
JPM,2026-04-16T22:28:30.794621,20,0.1141,slightly_bullish,0.0385,0.8359,positive_momentum,8,0,12
V,2026-04-16T22:28:30.806871,20,0.1141,slightly_bullish,-0.1135,0.8359,mixed_signals,8,0,12
JNJ,2026-04-16T22:28:30.818889,20,0.1141,slightly_bullish,0.1014,0.8359,positive_momentum,8,0,12
