symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-04-03T10:33:02.897497,20,0.1141,slightly_bullish,0.0398,0.8359,positive_momentum,8,0,12
MSFT,2026-04-03T10:33:02.912458,20,0.1141,slightly_bullish,0.0469,0.8359,positive_momentum,8,0,12
GOOGL,2026-04-03T10:33:02.926385,20,0.1141,slightly_bullish,0.0268,0.8359,positive_momentum,8,0,12
AMZN,2026-04-03T10:33:02.940340,20,0.1141,slightly_bullish,0.1014,0.8359,positive_momentum,8,0,12
META,2026-04-03T10:33:02.954614,20,0.1141,slightly_bullish,-0.0742,0.8359,mixed_signals,8,0,12
NVDA,2026-04-03T10:33:02.969590,20,0.1141,slightly_bullish,0.0385,0.8359,positive_momentum,8,0,12
TSLA,2026-04-03T10:33:02.983803,20,0.1141,slightly_bullish,-0.0723,0.8359,mixed_signals,8,0,12
JPM,2026-04-03T10:33:02.998301,20,0.1141,slightly_bullish,-0.0594,0.8359,mixed_signals,8,0,12
V,2026-04-03T10:33:03.012700,20,0.1141,slightly_bullish,-0.075,0.8359,mixed_signals,8,0,12
JNJ,2026-04-03T10:33:03.026678,20,0.1141,slightly_bullish,0.0541,0.8359,positive_momentum,8,0,12
