symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-08-26T14:32:45.083487,20,0.1141,slightly_bullish,-0.0745,0.8359,mixed_signals,8,0,12
MSFT,2026-08-26T14:32:45.099288,20,0.1141,slightly_bullish,0.0156,0.8359,positive_momentum,8,0,12
GOOGL,2026-08-26T14:32:45.116025,20,0.1141,slightly_bullish,0.0602,0.8359,positive_momentum,8,0,12
AMZN,2026-08-26T14:32:45.132317,20,0.1141,slightly_bullish,0.0416,0.8359,positive_momentum,8,0,12
META,2026-08-26T14:32:45.148361,20,0.1141,slightly_bullish,0.075,0.8359,positive_momentum,8,0,12
NVDA,2026-08-26T14:32:45.162030,20,0.1141,slightly_bullish,0.0867,0.8359,positive_momentum,8,0,12
TSLA,2026-08-26T14:32:45.175009,20,0.1141,slightly_bullish,0.075,0.8359,positive_momentum,8,0,12
JPM,2026-08-26T14:32:45.188474,20,0.1141,slightly_bullish,0.1148,0.8359,positive_momentum,8,0,12
V,2026-08-26T14:32:45.201101,20,0.1141,slightly_bullish,0.0594,0.8359,positive_momentum,8,0,12
JNJ,2026-08-26T14:32:45.213314,20,0.1141,slightly_bullish,-0.0533,0.8359,mixed_signals,8,0,12
