symbol,analyzed_at,article_count,average_sentiment,sentiment_trend,momentum,confidence,recommendation,positive_articles,negative_articles,neutral_articles
AAPL,2026-07-14T15:14:25.224124,20,0.1141,slightly_bullish,0.0602,0.8359,positive_momentum,8,0,12
MSFT,2026-07-14T15:14:25.240165,20,0.1141,slightly_bullish,0.0862,0.8359,positive_momentum,8,0,12
GOOGL,2026-07-14T15:14:25.255216,20,0.1141,slightly_bullish,-0.0867,0.8359,mixed_signals,8,0,12
AMZN,2026-07-14T15:14:25.270528,20,0.1141,slightly_bullish,-0.0121,0.8359,mixed_signals,8,0,12
META,2026-07-14T15:14:25.286921,20,0.1141,slightly_bullish,-0.0658,0.8359,mixed_signals,8,0,12
NVDA,2026-07-14T15:14:25.362900,20,0.1141,slightly_bullish,-0.0152,0.8359,mixed_signals,8,0,12
TSLA,2026-07-14T15:14:25.376851,20,0.1141,slightly_bullish,0.0871,0.8359,positive_momentum,8,0,12
JPM,2026-07-14T15:14:25.390572,20,0.1141,slightly_bullish,-0.0246,0.8359,mixed_signals,8,0,12
V,2026-07-14T15:14:25.403729,20,0.1141,slightly_bullish,-0.0125,0.8359,mixed_signals,8,0,12
JNJ,2026-07-14T15:14:25.416707,20,0.1141,slightly_bullish,0.0125,0.8359,positive_momentum,8,0,12
